Date,MKT_RF,SMB,HML,RMW,CMA,RF
2020-01-31,-0.0009,-0.0437,-0.0622,-0.011899999999999999,-0.0219,0.0013
2020-02-29,-0.0815,0.0008,-0.0382,-0.0143,-0.0253,0.0012
2020-03-31,-0.1335,-0.0818,-0.1383,-0.0161,0.011899999999999999,0.0012
2020-04-30,0.1358,0.025699999999999997,-0.0134,0.0276,-0.0102,0.0
2020-05-31,0.0559,0.0192,-0.05,0.0096,-0.0316,0.0001
2020-06-30,0.024399999999999998,0.0195,-0.0217,0.0014000000000000002,0.0055000000000000005,0.0001
2020-07-31,0.0583,-0.0319,-0.0144,0.0038,0.0097,0.0001
2020-08-31,0.0762,-0.0089,-0.0302,0.042699999999999995,-0.0151,0.0001
2020-09-30,-0.0364,-0.0001,-0.027200000000000002,-0.0138,-0.019299999999999998,0.0001
2020-10-31,-0.0208,0.0467,0.0425,-0.0077,-0.005699999999999999,0.0001
2020-11-30,0.1244,0.0712,0.0209,-0.0225,0.0128,0.0001
2020-12-31,0.0463,0.0493,-0.0168,-0.0197,-0.0006,0.0001
2021-01-31,-0.0007000000000000001,0.0681,0.0322,-0.0365,0.049699999999999994,0.0
2021-02-28,0.0281,0.045,0.07200000000000001,0.0033,-0.0199,0.0
2021-03-31,0.0316,-0.0084,0.0735,0.0635,0.0352,0.0
2021-04-30,0.049699999999999994,-0.0316,-0.0102,0.024300000000000002,-0.027200000000000002,0.0
2021-05-31,0.0029,0.0127,0.0704,0.023399999999999997,0.0301,0.0
2021-06-30,0.0273,-0.003,-0.0786,-0.021400000000000002,-0.009300000000000001,0.0
2021-07-31,0.0134,-0.0455,-0.0179,0.055,-0.0059,0.0
2021-08-31,0.029500000000000002,-0.0066,-0.0023,-0.0026,-0.0172,0.0
2021-09-30,-0.044000000000000004,0.011200000000000002,0.0512,-0.0192,0.02,0.0
2021-10-31,0.0663,-0.027000000000000003,-0.0053,0.0171,-0.0154,0.0
2021-11-30,-0.0158,-0.017,-0.0037,0.0719,0.017,0.0
2021-12-31,0.032400000000000005,-0.0078000000000000005,0.0326,0.048799999999999996,0.0429,0.0001
2022-01-31,-0.061500000000000006,-0.0401,0.1286,0.0077,0.07730000000000001,0.0
2022-02-28,-0.022799999999999997,0.0286,0.030600000000000002,-0.0203,0.030299999999999997,0.0
2022-03-31,0.0308,-0.021099999999999997,-0.019,-0.015,0.0321,0.0
2022-04-30,-0.0941,-0.0034999999999999996,0.061799999999999994,0.0341,0.0592,0.0
2022-05-31,-0.0033,-0.0003,0.08439999999999999,0.0155,0.0395,0.0003
2022-06-30,-0.084,0.013300000000000001,-0.06,0.0176,-0.0458,0.0006
2022-07-31,0.09570000000000001,0.0178,-0.0415,0.0077,-0.06849999999999999,0.0008
2022-08-31,-0.0377,0.0149,0.0018,-0.0478,0.0132,0.0019
2022-09-30,-0.0934,-0.0097,0.0003,-0.0137,-0.0077,0.0019
2022-10-31,0.0786,0.0181,0.0797,0.0327,0.0643,0.0023
2022-11-30,0.046900000000000004,-0.0275,0.0148,0.063,0.0315,0.0029
2022-12-31,-0.0638,-0.0019,0.0134,0.0032,0.042800000000000005,0.0033
2023-01-31,0.0659,0.043899999999999995,-0.0394,-0.0242,-0.0443,0.0034999999999999996
2023-02-28,-0.025699999999999997,0.0058,-0.008,0.0097,-0.0151,0.0034000000000000002
2023-03-31,0.024900000000000002,-0.0689,-0.09050000000000001,0.0227,-0.021,0.0036
2023-04-30,0.0063,-0.025699999999999997,-0.0012,0.0242,0.0285,0.0034999999999999996
2023-05-31,0.0033,-0.0043,-0.0779,-0.0178,-0.0708,0.0036
2023-06-30,0.0646,0.0128,-0.0013,0.0232,-0.0154,0.004
2023-07-31,0.0321,0.0286,0.0406,-0.006,0.0066,0.0045000000000000005
2023-08-31,-0.0236,-0.0365,-0.0115,0.0339,-0.0241,0.0045000000000000005
2023-09-30,-0.052300000000000006,-0.0178,0.0149,0.018799999999999997,-0.0077,0.0043
2023-10-31,-0.0315,-0.0403,0.002,0.024300000000000002,-0.0069,0.004699999999999999
2023-11-30,0.0888,-0.0021,0.0167,-0.0373,-0.0108,0.0044
2023-12-31,0.048600000000000004,0.0726,0.0489,-0.03,0.0129,0.0043
2024-01-31,0.0073,-0.0571,-0.023799999999999998,0.0070999999999999995,-0.0097,0.004699999999999999
2024-02-29,0.0507,-0.008,-0.034300000000000004,-0.0189,-0.0217,0.0042
2024-03-31,0.028399999999999998,-0.011899999999999999,0.0416,0.0147,0.011399999999999999,0.0043
2024-04-30,-0.04650000000000001,-0.0254,-0.0045000000000000005,0.015,-0.0031,0.004699999999999999
2024-05-31,0.0432,0.006,-0.0131,0.0317,-0.0285,0.0044
2024-06-30,0.027999999999999997,-0.0433,-0.0336,0.004699999999999999,-0.018000000000000002,0.0040999999999999995
2024-07-31,0.012199999999999999,0.0834,0.0562,0.0027,0.0028000000000000004,0.0045000000000000005
2024-08-31,0.0161,-0.0355,-0.011000000000000001,0.0075,0.008199999999999999,0.0048
2024-09-30,0.0173,-0.0092,-0.0277,0.0018,-0.0029,0.004
2024-10-31,-0.01,-0.0088,0.0086,-0.014199999999999999,0.0098,0.0039000000000000003
2024-11-30,0.0649,0.046,0.0015,-0.023,-0.020499999999999997,0.004
2024-12-31,-0.0315,-0.0383,-0.03,0.019,-0.0121,0.0037
