Date,RF_yield_pct
2020-01-31,1.5099999904632568
2020-02-29,1.2300000190734863
2020-03-31,0.029999999329447746
2020-04-30,0.09000000357627869
2020-05-31,0.12800000607967377
2020-06-30,0.13500000536441803
2020-07-31,0.08299999684095383
2020-08-31,0.0949999988079071
2020-09-30,0.08500000089406967
2020-10-31,0.08299999684095383
2020-11-30,0.07500000298023224
2020-12-31,0.06499999761581421
2021-01-31,0.04800000041723251
2021-02-28,0.03500000014901161
2021-03-31,0.013000000268220901
2021-04-30,0.003000000026077032
2021-05-31,0.00800000037997961
2021-06-30,0.03999999910593033
2021-07-31,0.03999999910593033
2021-08-31,0.03999999910593033
2021-09-30,0.02800000086426735
2021-10-31,0.04800000041723251
2021-11-30,0.04800000041723251
2021-12-31,0.032999999821186066
2022-01-31,0.17299999296665192
2022-02-28,0.2879999876022339
2022-03-31,0.49300000071525574
2022-04-30,0.8080000281333923
2022-05-31,1.0299999713897705
2022-06-30,1.600000023841858
2022-07-31,2.2980000972747803
2022-08-31,2.859999895095825
2022-09-30,3.180000066757202
2022-10-31,3.9749999046325684
2022-11-30,4.252999782562256
2022-12-31,4.260000228881836
2023-01-31,4.570000171661377
2023-02-28,4.710000038146973
2023-03-31,4.585000038146973
2023-04-30,4.922999858856201
2023-05-31,5.248000144958496
2023-06-30,5.1529998779296875
2023-07-31,5.248000144958496
2023-08-31,5.297999858856201
2023-09-30,5.300000190734863
2023-10-31,5.320000171661377
2023-11-30,5.23799991607666
2023-12-31,5.179999828338623
2024-01-31,5.188000202178955
2024-02-29,5.2230000495910645
2024-03-31,5.203000068664551
2024-04-30,5.244999885559082
2024-05-31,5.244999885559082
2024-06-30,5.2129998207092285
2024-07-31,5.135000228881836
2024-08-31,4.9679999351501465
2024-09-30,4.498000144958496
2024-10-31,4.432000160217285
2024-11-30,4.373000144958496
2024-12-31,4.182000160217285
