Symbol,Yahoo_Beta
A,1.262
AAPL,1.094
ABBV,0.507
ABNB,1.109
ABT,0.696
ACGL,0.451
ACN,1.278
ADBE,1.49
ADI,1.089
ADM,0.685
ADP,0.825
ADSK,1.491
AEE,0.494
AEP,0.464
AES,0.924
AFL,0.849
AIG,0.686
AIZ,0.549
AJG,0.73
AKAM,0.756
ALB,1.657
ALGN,1.704
ALL,0.377
ALLE,1.078
AMAT,1.814
AMCR,0.719
AMD,1.894
AME,1.109
AMGN,0.48
AMP,1.257
AMT,0.866
AMZN,1.281
ANET,1.475
AON,0.887
AOS,1.303
APA,1.165
APD,0.839
APH,1.18
APO,1.668
APTV,1.549
ARE,1.319
ATO,0.729
AVB,0.865
AVGO,1.208
AVY,0.953
AWK,0.697
AXON,1.415
AXP,1.294
AZO,0.398
BA,1.47
BAC,1.334
BALL,1.089
BAX,0.577
BBY,1.243
BDX,0.28
BEN,1.526
BF-B,0.526
BG,0.646
BIIB,0.125
BK,1.127
BKNG,1.351
BKR,0.98
BLDR,1.625
BLK,1.462
BMY,0.344
BR,0.952
BRK-B,0.77
BRO,0.793
BSX,0.614
BX,1.765
BXP,1.235
C,1.357
CAG,0.037
CAH,0.718
CARR,1.254
CAT,1.465
CB,0.546
CBOE,0.439
CBRE,1.363
CCI,0.963
CCL,2.686
CDNS,0.988
CDW,1.003
CF,0.918
CFG,1.143
CHD,0.425
CHRW,0.905
CHTR,1.051
CI,0.462
CINF,0.73
CL,0.335
CLX,0.515
CMCSA,0.941
CME,0.427
CMG,0.994
CMI,1.038
CMS,0.399
CNC,0.476
CNP,0.556
COF,1.182
COO,1.023
COP,0.635
COR,0.629
COST,0.964
CPAY,0.971
CPB,0.023
CPRT,1.034
CPT,0.808
CRL,1.503
CRM,1.195
CRWD,1.188
CSCO,0.966
CSGP,0.874
CSX,1.286
CTAS,1.002
CTRA,0.27
CTSH,0.945
CTVA,0.765
CVS,0.609
CVX,0.813
D,0.609
DAL,1.503
DASH,1.706
DAY,1.175
DD,1.07
DDOG,1.214
DE,1.031
DECK,1.054
DELL,1.126
DG,0.308
DGX,0.563
DHI,1.397
DHR,0.802
DIS,1.542
DLR,0.974
DLTR,0.858
DOC,1.066
DOV,1.259
DOW,0.857
DPZ,1.121
DRI,0.764
DTE,0.422
DUK,0.424
DVA,1.124
DVN,1.08
DXCM,1.476
EA,0.767
EBAY,1.305
ECL,1.096
ED,0.309
EFX,1.675
EG,0.472
EIX,0.805
EL,1.157
ELV,0.59
EME,1.243
EMN,1.298
EMR,1.279
EOG,0.76
EPAM,1.655
EQIX,0.907
EQR,0.911
EQT,0.499
ERIE,0.297
ES,0.678
ESS,0.823
ETN,1.172
ETR,0.605
EVRG,0.551
EW,1.047
EXC,0.486
EXPD,1.076
EXPE,1.563
EXR,1.113
F,1.542
FANG,1.015
FAST,0.94
FCX,1.582
FDS,0.786
FDX,1.288
FE,0.498
FFIV,1.063
FI,0.95
FICO,1.352
FIS,1.06
FITB,0.966
FOX,0.543
FOXA,0.543
FRT,1.163
FSLR,1.379
FTNT,1.098
FTV,1.128
GD,0.484
GDDY,0.978
GE,1.493
GEN,0.934
GILD,0.354
GIS,-0.025
GL,0.552
GLW,1.131
GM,1.336
GNRC,1.644
GOOG,1.0
GOOGL,1.0
GPC,0.772
GPN,0.982
GRMN,0.988
GS,1.415
GWW,1.165
HAL,1.022
HAS,0.597
HBAN,0.979
HCA,1.407
HD,1.001
HIG,0.68
HII,0.371
HLT,1.189
HOLX,0.627
HON,1.049
HPE,1.458
HPQ,1.3
HRL,0.296
HSIC,0.812
HST,1.379
HSY,0.249
HUBB,0.959
HUM,0.425
HWM,1.454
IBKR,1.217
IBM,0.724
ICE,1.085
IDXX,1.578
IEX,1.036
IFF,1.087
INCY,0.737
INTC,1.33
INTU,1.253
INVH,0.812
IP,1.057
IPG,1.079
IQV,1.325
IR,1.431
IRM,1.076
ISRG,1.611
IT,1.2
ITW,1.113
IVZ,1.629
J,0.8
JBHT,1.243
JBL,1.264
JCI,1.344
JKHY,0.779
JNJ,0.392
JPM,1.127
K,0.247
KDP,0.437
KEY,1.131
KEYS,1.184
KHC,0.127
KIM,1.318
KKR,1.913
KLAC,1.497
KMB,0.306
KMI,0.788
KMX,1.266
KO,0.424
KR,0.566
L,0.725
LDOS,0.72
LEN,1.391
LH,0.871
LHX,0.762
LII,1.105
LIN,0.94
LKQ,0.837
LLY,0.461
LMT,0.274
LNT,0.54
LOW,0.88
LRCX,1.841
LULU,1.072
LUV,1.2
LVS,0.999
LW,0.506
LYB,0.89
LYV,1.403
MA,0.967
MAA,0.777
MAR,1.346
MAS,1.177
MCD,0.504
MCHP,1.535
MCK,0.513
MCO,1.412
MDLZ,0.457
MDT,0.792
MET,0.849
META,1.203
MGM,1.672
MHK,1.291
MKC,0.628
MLM,1.012
MMC,0.811
MMM,1.108
MNST,0.541
MO,0.572
MOH,0.553
MOS,1.01
MPC,0.883
MPWR,1.275
MRK,0.373
MRNA,2.007
MS,1.324
MSCI,1.332
MSFT,1.023
MSI,0.969
MTB,0.612
MTCH,1.382
MTD,1.375
MU,1.567
NCLH,2.222
NDAQ,0.989
NDSN,0.967
NEE,0.652
NEM,0.356
NFLX,1.593
NI,0.601
NKE,1.298
NOC,0.098
NOW,0.923
NRG,1.143
NSC,1.32
NTAP,1.448
NTRS,1.317
NUE,1.762
NVDA,2.123
NVR,0.945
NWS,1.181
NWSA,1.181
NXPI,1.447
O,0.787
ODFL,1.194
OKE,1.001
OMC,0.97
ON,1.489
ORCL,1.531
ORLY,0.598
OTIS,0.99
OXY,0.951
PANW,0.974
PAYC,0.827
PAYX,0.913
PCAR,0.946
PCG,0.58
PEG,0.538
PEP,0.458
PFE,0.465
PFG,1.029
PG,0.364
PGR,0.318
PH,1.347
PHM,1.298
PKG,0.921
PLD,1.291
PLTR,2.595
PM,0.479
PNC,1.109
PNR,1.104
PNW,0.46
PODD,1.399
POOL,1.104
PPG,1.149
PPL,0.665
PRU,1.021
PSA,0.876
PSKY,1.273
PSX,1.094
PTC,1.145
PWR,1.038
PYPL,1.446
QCOM,1.227
RCL,2.088
REG,1.101
REGN,0.307
RF,1.029
RJF,1.049
RL,1.626
RMD,0.833
ROK,1.404
ROL,0.69
ROP,1.001
ROST,1.183
RSG,0.601
RTX,0.648
RVTY,0.985
SBAC,0.812
SBUX,0.998
SCHW,0.966
SHW,1.203
SJM,0.241
SLB,0.975
SMCI,1.548
SNA,0.774
SNPS,1.097
SO,0.413
SPG,1.531
SPGI,1.189
SRE,0.661
STE,1.01
STLD,1.411
STT,1.48
STX,1.649
STZ,0.66
SW,1.045
SWK,1.188
SWKS,1.195
SYF,1.5
SYK,0.951
SYY,0.836
T,0.624
TAP,0.632
TDG,1.002
TDY,1.117
TECH,1.479
TEL,1.254
TER,1.82
TFC,0.855
TGT,1.177
TJX,0.921
TKO,0.266
TMO,0.775
TMUS,0.583
TPL,1.132
TPR,1.585
TRGP,1.129
TRMB,1.657
TROW,1.514
TRV,0.519
TSCO,0.724
TSLA,2.086
TSN,0.56
TT,1.119
TTD,1.383
TTWO,1.017
TXN,1.002
TXT,1.131
TYL,0.891
UAL,1.457
UBER,1.479
UDR,0.855
UHS,1.305
ULTA,1.074
UNH,0.478
UNP,1.068
UPS,1.078
URI,1.727
USB,1.076
V,0.897
VICI,0.74
VLO,1.026
VMC,0.923
VRSK,0.856
VRSN,0.789
VRTX,0.431
VST,1.34
VTR,0.909
VTRS,0.889
VZ,0.366
WAB,1.097
WAT,1.044
WBD,1.737
WDAY,1.104
WDC,1.834
WEC,0.454
WELL,0.911
WFC,1.24
WM,0.642
WMB,0.665
WMT,0.671
WRB,0.417
WSM,1.548
WST,1.068
WTW,0.736
WY,1.063
WYNN,1.305
XEL,0.378
XOM,0.484
XYL,1.128
XYZ,2.715
YUM,0.721
ZBH,0.667
ZBRA,1.752
ZTS,0.902
